P1 P2 P3 Time
3 8 5 72695
3 8 6 72695
3 8 7 72695
3 8 8 72545
3 8 9 72545
3 8 10 72545
3 8 11 72545
3 8 12 72545
3 8 13 72545
3 8 14 72545
3 8 15 72395
3 8 16 72395
3 8 17 72395
3 9 1 74495
3 9 2 73445
3 9 3 72995
3 9 4 72845
3 9 5 72695
3 9 6 72695
3 9 7 72695
3 9 8 72545
3 9 9 72545
3 9 10 72545
3 9 11 72545
3 9 12 72545
3 9 13 72545
3 9 14 72545
3 9 15 72395
3 9 16 72395
3 9 17 72395
3 10 1 74495
3 10 2 73445
3 10 3 72995
3 10 4 72845
3 10 5 72695
3 10 6 72695
3 10 7 72695
3 10 8 72545
3 10 9 72545
3 10 10 72545
3 10 11 72545
3 10 12 72545
3 10 13 72545
3 10 14 72545
3 10 15 72395
3 10 16 72395
3 10 17 72395
3 11 1 74495
3 11 2 73445
3 11 3 72995
3 11 4 72845
3 11 5 72695
3 11 6 72695
3 11 7 72695
3 11 8 72545
3 11 9 72545
3 11 10 72545
3 11 11 72545
3 11 12 72545
3 11 13 72545
3 11 14 72545
3 11 15 72395
3 11 16 72395
3 11 17 72395
3 12 1 74355
3 12 2 73305
3 12 3 72855
3 12 4 72705
3 12 5 72555
3 12 6 72555
3 12 7 72555
3 12 8 72405
3 12 9 72405
3 12 10 72405
3 12 11 72405
3 12 12 72405
3 12 13 72405
3 12 14 72405
3 12 15 72255
3 12 16 72255
3 12 17 72255
3 13 1 74355
3 13 2 73305
3 13 3 72855
3 13 4 72705
3 13 5 72555
3 13 6 72555
3 13 7 72555
3 13 8 72405
3 13 9 72405
3 13 10 72405
3 13 11 72405
3 13 12 72405
3 13 13 72405
3 13 14 72405
3 13 15 72255
3 13 16 72255
3 13 17 72255
3 14 1 74355
3 14 2 73305
3 14 3 72855
3 14 4 72705
3 14 5 72555
3 14 6 72555
3 14 7 72555
3 14 8 72405
3 14 9 72405
3 14 10 72405
3 14 11 72405
3 14 12 72405
3 14 13 72405
3 14 14 72405
3 14 15 72255
3 14 16 72255
3 14 17 72255
3 15 1 74355
3 15 2 73305
3 15 3 72855
3 15 4 72705
3 15 5 72555
3 15 6 72555
3 15 7 72555
3 15 8 72405
3 15 9 72405
3 15 10 72405
3 15 11 72405
3 15 12 72405
3 15 13 72405
3 15 14 72405
3 15 15 72255
3 15 16 72255
3 15 17 72255
3 16 1 74355
3 16 2 73305
3 16 3 72855
3 16 4 72705
3 16 5 72555
3 16 6 72555
3 16 7 72555
3 16 8 72405
3 16 9 72405
3 16 10 72405
3 16 11 72405
3 16 12 72405
3 16 13 72405
3 16 14 72405
3 16 15 72255
3 16 16 72255
3 16 17 72255
3 17 1 74355
3 17 2 73305
3 17 3 72855
3 17 4 72705
3 17 5 72555
3 17 6 72555
3 17 7 72555
3 17 8 72405
3 17 9 72405
3 17 10 72405
3 17 11 72405
3 17 12 72405
3 17 13 72405
3 17 14 72405
